date,city,permit_type,permit_number,address,description
2015-04-06,houston,New Single Family Dwelling,2357,6067  BONESS RD,"Project: NEW S.F. RESIDENCE - NO GARAGE (1-1-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-20,houston,New Single Family Dwelling,2358,5614  HOWELL ST,"Project: NEW S.F. RESIDENCE - NO GARAGE (1-1-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-16,houston,New Single Family Dwelling,2359,1501  TRUXILLO ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-28,houston,New Single Family Dwelling,2360,1501  TRUXILLO ST,"Project: 3 STORY S.F. RES W/ ATT GAR (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-05-31,houston,New Single Family Dwelling,2361,11127  OLYMPIA DR,"Project: 3 STORY S.F. RES W/ ATT GAR (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-05-31,houston,New Single Family Dwelling,2362,11129  OLYMPIA DR,"Project: 3 STORY S.F. RES W/ ATT GAR (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-05-31,houston,New Single Family Dwelling,2363,11131  OLYMPIA DR,"Project: 3 STORY S.F. RES W/ ATT GAR (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-06-16,houston,New Single Family Dwelling,2364,11133  OLYMPIA DR,"Project: 3 STORY S.F. RES W/ ATT GAR (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-05-12,houston,New Single Family Dwelling,2365,11115  OLYMPIA DR,"Project: 3 STORY S.F. RES W/ ATT GAR (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-05-31,houston,New Single Family Dwelling,2366,11125  OLYMPIA DR,"Project: 3 STORY S.F. RES W/ ATT GAR (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-06-01,houston,New Single Family Dwelling,2367,11123  OLYMPIA DR,"Project: 3 STORY S.F. RES W/ ATT GAR (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-03-26,houston,New Single Family Dwelling,2368,13407  SUMMIT RESERVE CT,"Project: NEW S.F. RES W/ ATT GAR (REPEAT MDL F-756 Y) 06 IRC, Dwellings: 1, Buildings: 1"
2015-05-12,houston,New Single Family Dwelling,2369,1421  BLAIR ST,"Project: 2 STORY S.F. RES W/ ATT GAR (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-05-12,houston,New Single Family Dwelling,2370,1423  BLAIR ST,"Project: 2 STORY S.F. RES W/ ATT GAR (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-06-28,houston,New Single Family Dwelling,2371,714  JAMES ST,"Project: 3 STORY S.F. RES W/ ATT GAR (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-07-12,houston,New Single Family Dwelling,2372,2211  TROON RD,"Project: NEW S.F. RESIDENCE W/ DET GARAGE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-06-24,houston,New Single Family Dwelling,2373,5731  SALUDA CREEK LN,"Project: 1 STORY S.F. RES W/ ATT GAR (1-1-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-06-08,houston,New Single Family Dwelling,2374,5723  SOURIS VALLEY CT,"Project: 2 STORY S.F. RES W/ ATT GAR (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-21,houston,New Single Family Dwelling,2375,4425  ELI ST,"Project: 4 STORY S.F. RES W/ ATT GAR (1-4-5-R3-B-13R) 06 IBC, Dwellings: 1, Buildings: 1"
2015-08-24,houston,New Single Family Dwelling,2376,8124  SWIFTWATER LN,"Project: 2 STORY S.F. RES W/ ATT GAR (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-16,houston,New Single Family Dwelling,2377,1421  MONARCH OAKS ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
